rs,question,correct,distractor,successRate,question_correct,fill_in_blank,explicit_question,colon_end,what_was_first,true_false,has_img,has_code
65,Jak v Pythonu zapisujeme logickou spojku 'a zároveň' (konjunkce)?,and,&&,83.878,Jak v Pythonu zapisujeme logickou spojku 'a zároveň' (konjunkce)? and,0,1,0,0,0,0,0
65,Jak v Pythonu zapisujeme logickou spojku 'a zároveň' (konjunkce)?,and,or,81.737,Jak v Pythonu zapisujeme logickou spojku 'a zároveň' (konjunkce)? and,0,1,0,0,0,0,0
65,Jak v Pythonu zapisujeme logickou spojku 'nebo' (disjunkce)?,or,||,84.746,Jak v Pythonu zapisujeme logickou spojku 'nebo' (disjunkce)? or,0,1,0,0,0,0,0
65,Jak v Pythonu zapisujeme logickou spojku 'negace'?,not,!,73.499,Jak v Pythonu zapisujeme logickou spojku 'negace'? not,0,1,0,0,0,0,0
65,Jak v Pythonu zapisujeme test na nerovnost hodnot 'x' a 'y'?,x != y,x =!= y,74.795,Jak v Pythonu zapisujeme test na nerovnost hodnot 'x' a 'y'? x != y,0,1,0,0,0,0,0
69,Co vypíše program?,Chybovou hlášku,code,73.662,Co vypíše program? Chybovou hlášku,0,1,0,0,0,0,0
65,Jaký je význam logické spojky 'and'?,Musí platit oba výrazy.,Musí platit alespoň jeden výraz.,77.629,Jaký je význam logické spojky 'and'? Musí platit oba výrazy.,0,1,0,0,0,0,0
65,Jaký je význam logické spojky 'or'?,Musí platit alespoň jeden výraz.,Musí platit oba výrazy.,82.905,Jaký je význam logické spojky 'or'? Musí platit alespoň jeden výraz.,0,1,0,0,0,0,0
69,Co vypíše program?,Chybovou hlášku,code,76.392,Co vypíše program? Chybovou hlášku,0,1,0,0,0,0,0
69,Co vypíše program?,Chybovou hlášku,code,71.489,Co vypíše program? Chybovou hlášku,0,1,0,0,0,0,0
70,Určete typ:,int,float,88.0,Určete typ: int,0,0,1,0,0,0,0
70,Určete typ:,float,real,90.374,Určete typ: float,0,0,1,0,0,0,0
70,Určete typ:,list,dict,79.661,Určete typ: list,0,0,1,0,0,0,0
70,Určete typ:,dict,list,82.353,Určete typ: dict,0,0,1,0,0,0,0
70,Určete typ:,list,int,88.83,Určete typ: list,0,0,1,0,0,0,0
70,Určete typ:,str,list,88.71,Určete typ: str,0,0,1,0,0,0,0
70,Určete typ:,str,chars,87.5,Určete typ: str,0,0,1,0,0,0,0
70,Určete typ:,str,char,85.294,Určete typ: str,0,0,1,0,0,0,0
70,Určete typ:,str,int,78.947,Určete typ: str,0,0,1,0,0,0,0
70,Určete typ:,str,int,81.921,Určete typ: str,0,0,1,0,0,0,0
70,Určete typ:,int,float,79.33,Určete typ: int,0,0,1,0,0,0,0
70,Určete typ:,float,int,74.272,Určete typ: float,0,0,1,0,0,0,0
70,Určete typ:,int,float,52.174,Určete typ: int,0,0,1,0,0,0,0
70,Určete typ:,float,int,68.229,Určete typ: float,0,0,1,0,0,0,0
70,Určete typ:,str,list,50.521,Určete typ: str,0,0,1,0,0,0,0
70,Určete typ:,dict,list,74.528,Určete typ: dict,0,0,1,0,0,0,0
70,Určete typ:,int,str,55.914,Určete typ: int,0,0,1,0,0,0,0
70,Určete typ:,int,float,87.192,Určete typ: int,0,0,1,0,0,0,0
70,Určete typ:,float,int,86.885,Určete typ: float,0,0,1,0,0,0,0
70,Určete typ:,int,negative,74.211,Určete typ: int,0,0,1,0,0,0,0
70,Určete typ:,bool,str,89.714,Určete typ: bool,0,0,1,0,0,0,0
70,Určete typ:,str,bool,68.0,Určete typ: str,0,0,1,0,0,0,0
70,Určete typ:,bool,int,89.785,Určete typ: bool,0,0,1,0,0,0,0
70,Jak se označuje typ používaný pro reprezentaci celých čísel?,int,integer,81.951,Jak se označuje typ používaný pro reprezentaci celých čísel? int,0,1,0,0,0,0,0
70,Jak se označuje typ používaný pro (přibližnou) reprezentaci reálných čísel?,float,real,67.179,Jak se označuje typ používaný pro (přibližnou) reprezentaci reálných čísel? float,0,1,0,0,0,0,0
70,Jak se označuje typ používaný pro reprezentaci řetězců?,str,string,69.591,Jak se označuje typ používaný pro reprezentaci řetězců? str,0,1,0,0,0,0,0
70,Jak se označuje typ používaný pro reprezentaci pravdivostních hodnot?,bool,truth,85.405,Jak se označuje typ používaný pro reprezentaci pravdivostních hodnot? bool,0,1,0,0,0,0,0
70,Jak se označuje typ používaný pro reprezentaci seznamů?,list,dict,87.912,Jak se označuje typ používaný pro reprezentaci seznamů? list,0,1,0,0,0,0,0
70,Jak se označuje typ používaný pro reprezentaci slovníku?,dict,list,83.03,Jak se označuje typ používaný pro reprezentaci slovníku? dict,0,1,0,0,0,0,0
70,Co reprezentuje typ 'int'?,celá čísla,reálná čísla,83.422,Co reprezentuje typ 'int'? celá čísla,0,1,0,0,0,0,0
